Id,Domanda,Risposta,Tipo-Domanda
0,A chi è demandata la valutazione dell'offerta di lavori qualora si proceda con il criterio dell'offerta economicamente più vantaggiosa?,A una commissione giudicatrice,Generazione
1,"A cosa è tenuto l'operatore economico che partecipa ad una gara, ai sensi della normativa sulla tracciabilità dei flussi finanziari?","Deve usare conti correnti postali o bancari dedicati alle commesse pubbliche, anche in via non esclusiva",Generazione
2,"A fronte dell'iniziativa di una stazione appaltante relativamente a questioni insorte durante lo svolgimento della gara stessa, l'A.N.A.C. è tenuta ad esprimere un parere:",vincolante,Completamento
3,"A norma del Codice dei contratti pubblici e degli appalti, chi si trovi in stato di fallimento può partecipare a gare pubbliche d'appalto?","No, mai",Generazione
4,A norma delle Legge 136 del 2010 chi attribuisce il Codice identificativo di gara (CIG)?,"L'Autorità di vigilanza sui contratti pubblici di lavori, servizi e forniture su richiesta della stazione appaltante",Generazione
5,A norma di quanto dispone il Codice dei contratti pubblici in quale momento le stazioni appaltanti decretano o determinano di contrarre e individuano i criteri di selezione degli operatori economici?,Prima dell'avvio delle procedure di affidamento,Generazione
6,A norma di quanto dispone il Codice dei contratti pubblici in quale momento le stazioni appaltanti decretano o determinano di contrarre?,Prima dell'avvio delle procedure di affidamento,Generazione
7,A norma di quanto dispone il Codice dei contratti pubblici in quale momento le stazioni appaltanti individuano gli elementi essenziali del contratto?,Prima dell'avvio delle procedure di affidamento,Generazione
8,A norma di quanto dispone il Codice dei contratti pubblici in quale momento le stazioni appaltanti individuano i criteri di selezione degli operatori economici?,Prima dell'avvio delle procedure di affidamento,Generazione
9,A norma di quanto dispone il Codice dei contratti pubblici in quale momento le stazioni appaltanti individuano i criteri di selezione delle offerte?,Prima dell'avvio delle procedure di affidamento,Generazione
10,A norma di quanto dispone il Codice dei contratti pubblici in quale momento le stazioni appaltanti individuano i criteri di selezione delle offerte?,Prima dell'avvio delle procedure di affidamento,Generazione
11,"A norma di quanto dispone il Codice dei contratti pubblici, in quale momento le stazioni appaltanti decretano o determinano di contrarre?",Prima dell'avvio delle procedure di affidamento,Generazione
12,A quale dei seguenti istituti può ricorrere l'operatore economico carente dei requisiti tecnico professionali ed economico finanziari richiesti per la partecipazione ad una gara d'appalto?,Avvalimento,Generazione
13,"A seguito di verifica di inadempienza nel regolare adempimento degli obblighi contrattuali del contraente generale verso i propri affidatari, il soggetto aggiudicatore:","applica una detrazione sui successivi pagamenti e procede al pagamento diretto all'affidatario, nonché applica le eventuali diverse sanzioni previste nel contratto",Completamento
14,"Ai fini del Codice dei contratti pubblici, le procedure intese a fornire alle stazioni appaltanti, nel settore dell'architettura, dell'ingegneria, del restauro e della tutela dei beni culturali e archeologici, della pianificazione urbanistica e territoriale, paesaggistica, naturalistica, geologica, del verde urbano e del paesaggio forestale agronomico, nonché nel settore della messa in sicurezza e della mitigazione degli impatti idrogeologici ed idraulici e dell'elaborazione di dati, un piano o un progetto, selezionato da una commissione giudicatrice in base a una gara, con o senza assegnazione di premi costituiscono:",I concorsi di progettazione,Completamento
15,"Ai fini del Codice dei contratti pubblici, per ""candidato"" si intende:","Un operatore economico che ha sollecitato un invito o è stato invitato a partecipare a una procedura ristretta, a una procedura competitiva con negoziazione, a una procedura negoziata senza previa pubblicazione di un bando di gara, a un dialogo competitivo o a un partenariato per l'innovazione o ad una procedura per l'aggiudicazione di una concessione",Completamento
16,"Ai fini del Codice dei contratti pubblici, per ""offerente"" si intende:",L'operatore economico che ha presentato un'offerta,Completamento
17,"Ai fini del Codice dei contratti, l'operatore economico che ha presentato un'offerta assume la denominazione di:",offerente,Completamento
18,Ai sensi del Codice dei Contratti la concessione di lavori:,è una delle tipologie di contratto utilizzabile dalle pubbliche amministrazioni,Completamento
19,"Ai sensi del Codice dei contratti pubblici, prima dell'avvio delle procedure di affidamento dei contratti pubblici, le stazioni appaltanti:","decretano o determinano di contrarre, individuando gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte",Completamento
20,"Ai sensi del Codice dei contratti, l'aggiudicazione definitiva diventa efficace:",dopo la verifica del possesso dei prescritti requisiti,Completamento
21,"Ai sensi del D.Lgs. 36/2023 Art. 140 comma 1, in circostanze di somma urgenza e senza indugio può essere disposta la immediata esecuzione dei lavori entro il limite di:",500.000 euro o di quanto indispensabile per rimuovere lo stato di pregiudizio alla pubblica e privata incolumità,Completamento
22,"Ai sensi dell'art. 101 comma 1 del D.Lgs.36/2023, in merito al soccorso istruttorio al fine di far integrare agli operatori economici la documentazione mancante , ad esclusione della documentazione che compone l'offerta tecnica e l'offerta economica, la stazione appaltante assegna un termine :",non inferiore a 5 giorni e non superiore a 10 giorni,Completamento
23,Ai sensi dell'art. 1322 c.c. le parti possono liberamente determinare:,Il contenuto del contratto,Completamento
24,"Ai sensi dell'art. 31 del D.Lgs. 36/2023, l'Anagrafe degli operatori economici, a qualunque titolo coinvolti nei contratti pubblici, è istituita presso:",l'ANAC,Completamento
25,"Ai sensi dell'art. 59 comma del D.Lgs. 36/2023 , l'accordo quadro indica:",il valore stimato dell'intera operazione contrattuale,Completamento
26,"Ai sensi dell'art. 59 comma del D.Lgs. 36/2023, l'accordo quadro :",non è ammissibile ove l'appalto consequenziale comporti modifiche sostanziali alla tipologia delle prestazioni previste nell'accordo,Completamento
27,Ai sensi dell'art. 60 comma 1 del D.Lgs. 36/2023:,nei documenti di gara iniziali delle procedure di affidamento è obbligatorio l'inserimento delle clausole di revisione prezzi,Completamento
28,Ai sensi dell'art. 60 comma 5 lettera a del D.Lgs. 36/2023 per far fronte ai maggiori oneri derivanti dalla revisione prezzi le stazioni appaltanti utilizzano:,"nel limite del 50 per cento, le risorse appositamente accantonate per imprevisti nel quadro economico di ogni intervento, fatte salve le somme relative agli impegni contrattuali già assunti",Completamento
29,Ai sensi dell'art. 8 comma 1 del D.Lgs. n. 36/2023 le Pubbliche Amministrazioni sono dotate di autonomia contrattuale e possono concludere qualsiasi contratto:,anche gratuito salvi i divieti espressamente previsti dal codice e da altre disposizioni di legge,Completamento
30,"Ai sensi dell'art. 89 comma 1 del D.Lgs. 36/2023 le stazioni appaltanti invitano simultaneamente e per iscritto, attraverso le piattaforme di approvvigionamento digitale, i candidati selezionati a presentare le rispettive offerte o a negoziare oppure a partecipare al dialogo:","nelle procedure ristrette, nel dialogo competitivo, nei partenariati per l'innovazione, nelle procedure competitive con negoziazione",Completamento
31,"Ai sensi dell'art. 90 comma 1 lettera d del D.Lgs. 36/2023, le stazioni appaltanti entro quanti giorni comunicano l'esclusione ai candidati e agli offerenti esclusi?",Entro cinque giorni dall'adozione del provvedimento,Generazione
32,"Ai sensi dell'art. 90, co. 1, lettera e, del D.Lgs. 36/2023 e s.m.i., le stazioni appaltanti entro quanti giorni comunicano la data di avvenuta stipulazione del contratto con l'aggiudicatario a tutti i candidati e concorrenti che hanno presentato un'offerta ammessa in gara?",Entro cinque giorni dall'adozione del provvedimento,Generazione
