Id,Domanda,Opzione corretta,Opzioni
0,A chi è demandata la valutazione dell'offerta di lavori qualora si proceda con il criterio dell'offerta economicamente più vantaggiosa?,d,"a) Si, è vincolante per il periodo indicato nel bando o nell'invito e, in caso di mancata indicazione, per centottanta giorni dalla scadenza del termine per la sua presentazione
 b) No, l''unico criterio di aggiudicazione è il prezzo più basso
 c) Darne una motivazione adeguata e indicare nel bando il criterio applicato ai fini della selezione della migliore offerta
 d) A una commissione giudicatrice
 "
1,"A cosa è tenuto l'operatore economico che partecipa ad una gara, ai sensi della normativa sulla tracciabilità dei flussi finanziari?",d,"a) La possibilità di una concorrenza effettiva e sono accompagnati da specifiche che consentono l'efficace verifica delle informazioni fornite dagli offerenti, al fine di valutare il grado di soddisfacimento dei criteri di aggiudicazione delle offerte
 b) il numero delle procedure aggiudicate con il criterio dell'offerta economicamente più vantaggiosa rispetto al totale delle procedure
 c) affidamento diretto per lavori di importo inferiore a 150.000 euro, anche senza consultazione di più operatori economici
 d) Deve usare conti correnti postali o bancari dedicati alle commesse pubbliche, anche in via non esclusiva
 "
2,"A fronte dell'iniziativa di una stazione appaltante relativamente a questioni insorte durante lo svolgimento della gara stessa, l'A.N.A.C. è tenuta ad esprimere un parere:",d,"a) Entro cinque giorni dall'adozione del provvedimento
 b) No, non equivale ad accettazione dell'offerta
 c) Sì, Su richiesta del RUP
 d) vincolante
 "
3,"A norma del Codice dei contratti pubblici e degli appalti, chi si trovi in stato di fallimento può partecipare a gare pubbliche d'appalto?",c,"a) Si, devono essere pubblicati nella sezione ""Amministrazione trasparente""
 b) Entro cinque giorni dall'adozione del provvedimento
 c) No, mai
 d) No, non equivale ad accettazione dell'offerta
 "
4,A norma delle Legge 136 del 2010 chi attribuisce il Codice identificativo di gara (CIG)?,c,"a) Si tratta di una procedura di scelta del contraente in cui qualsiasi operatore economico può chiedere di partecipare in base ad un bando di gara o ad un avviso di indizione di gara, ma le stazioni appaltanti avviano un dialogo solo con gli operatori che, sulla base delle informazioni fornite, vengono invitate
 b) L'idoneità professionale; la capacità economica e finanziaria; le capacità tecniche e professionali
 c) L'Autorità di vigilanza sui contratti pubblici di lavori, servizi e forniture su richiesta della stazione appaltante
 d) Prima dell'avvio delle procedure di affidamento dei contratti pubblici, le stazioni appaltanti, in conformita' ai propri ordinamenti, decretano o determinano di contrarre
 "
5,A norma di quanto dispone il Codice dei contratti pubblici in quale momento le stazioni appaltanti decretano o determinano di contrarre e individuano i criteri di selezione degli operatori economici?,b,"a) Tra l'altro mediante un avviso periodico indicativo, che viene pubblicato in maniera continuativa
 b) Prima dell'avvio delle procedure di affidamento
 c) Partenariato per l'innovazione - Dialogo competitivo
 d) è indicato nel bando o nell'avviso
 "
6,A norma di quanto dispone il Codice dei contratti pubblici in quale momento le stazioni appaltanti decretano o determinano di contrarre?,b,"a) La garanzia è progressivamente svincolata a misura dell'avanzamento dell'esecuzione, nel limite massimo dell'80% dell'iniziale importo garantito, senza necessità di nulla osta del committente, ma con preventiva consegna degli stati di avanzamento lavori o documenti analoghi, attestanti l'avvenuta esecuzione
 b) Prima dell'avvio delle procedure di affidamento
 c) Unicamente le procedure di accreditamento c.d. libero e le procedure di co-progettazione e partenariato finalizzate a rapporti puramente gratuiti
 d) Il valore è determinato dalla totalità dei lotti
 "
7,A norma di quanto dispone il Codice dei contratti pubblici in quale momento le stazioni appaltanti individuano gli elementi essenziali del contratto?,a,"a) Prima dell'avvio delle procedure di affidamento
 b) Deve essere effettuato non oltre 6 mesi dopo l'ultimazione dei lavori, salvo casi particolari
 c) La garanzia è progressivamente svincolata a misura dell'avanzamento dell'esecuzione, nel limite massimo dell'80% dell'iniziale importo garantito, senza necessità di nulla osta del committente, ma con preventiva consegna degli stati di avanzamento lavori o documenti analoghi, attestanti l'avvenuta esecuzione
 d) 95.000 Euro
 "
8,A norma di quanto dispone il Codice dei contratti pubblici in quale momento le stazioni appaltanti individuano i criteri di selezione degli operatori economici?,c,"a) Tra l'altro mediante un avviso periodico indicativo, che viene pubblicato in maniera continuativa
 b) Si, lo prevede espressamente il Codice dei contratti pubblici senza rinunciare al livello qualitativo delle prestazioni
 c) Prima dell'avvio delle procedure di affidamento
 d) Entro cinque giorni dall'adozione del provvedimento
 "
9,A norma di quanto dispone il Codice dei contratti pubblici in quale momento le stazioni appaltanti individuano i criteri di selezione delle offerte?,a,"a) Prima dell'avvio delle procedure di affidamento
 b) Tra l'altro mediante un avviso periodico indicativo, che viene pubblicato in maniera continuativa
 c) Si, lo prevede espressamente il Codice dei contratti pubblici senza rinunciare al livello qualitativo delle prestazioni
 d) Una valutazione equa ed imparziale dei concorrenti e l'eliminazione di ostacoli o restrizioni nella predisposizione delle offerte e nella loro valutazione
 "
